iter	Passed	Remaining
0	139	139627
1	142	70965
2	144	48087
3	147	36619
4	149	29763
5	152	25239
6	154	21967
7	156	19438
8	157	17385
9	158	15737
10	160	14388
11	161	13263
12	162	12309
13	163	11493
14	164	10787
15	165	10167
16	166	9619
17	167	9134
18	168	8699
19	169	8307
20	170	7954
21	171	7630
22	172	7335
23	173	7064
24	174	6816
25	175	6585
26	176	6371
27	177	6176
28	179	5994
29	180	5826
30	181	5676
31	182	5524
32	183	5374
33	184	5229
34	184	5091
35	185	4961
36	185	4838
37	186	4721
38	187	4609
39	187	4504
40	188	4405
41	188	4309
42	189	4218
43	190	4131
44	190	4049
45	191	3970
46	192	3895
47	192	3821
48	193	3751
49	193	3684
50	194	3619
51	195	3557
52	195	3497
53	196	3440
54	196	3384
55	197	3329
56	198	3277
57	198	3227
58	199	3178
59	199	3131
60	200	3086
61	201	3042
62	201	2999
63	202	2958
64	202	2918
65	203	2879
66	204	2841
67	204	2801
68	204	2765
69	205	2731
70	206	2698
71	206	2665
72	207	2634
73	208	2603
74	208	2573
75	209	2544
76	209	2515
77	210	2486
78	211	2460
79	211	2433
80	212	2407
81	212	2381
82	213	2356
83	213	2332
84	214	2306
85	214	2283
86	215	2258
87	215	2236
88	216	2214
89	216	2193
90	217	2172
91	218	2152
92	218	2131
93	219	2112
94	219	2093
95	220	2075
96	221	2059
97	222	2043
98	222	2027
99	223	2010
100	224	1995
101	224	1976
102	225	1959
103	225	1944
104	226	1929
105	226	1913
106	227	1898
107	228	1883
108	228	1868
109	229	1854
110	229	1839
111	230	1825
112	230	1811
113	231	1798
114	231	1784
115	232	1770
116	232	1758
117	233	1745
118	233	1732
119	234	1720
120	235	1708
121	235	1697
122	236	1683
123	236	1672
124	237	1660
125	237	1649
126	238	1638
127	238	1626
128	239	1615
129	239	1605
130	240	1596
131	241	1587
132	241	1577
133	242	1567
134	243	1557
135	243	1548
136	244	1538
137	244	1528
138	245	1519
139	245	1510
140	246	1501
141	247	1492
142	247	1483
143	248	1475
144	248	1467
145	249	1458
146	249	1450
147	250	1442
148	251	1433
149	251	1425
150	252	1418
151	252	1410
152	253	1402
153	253	1394
154	254	1387
155	255	1379
156	255	1372
157	256	1365
158	256	1358
159	257	1351
160	257	1344
161	258	1337
162	259	1330
163	259	1323
164	260	1316
165	260	1309
166	261	1303
167	261	1296
168	262	1290
169	263	1284
170	263	1278
171	264	1271
172	264	1265
173	265	1259
174	265	1253
175	266	1247
176	267	1241
177	267	1235
178	268	1229
179	268	1224
180	269	1217
181	269	1211
182	270	1206
183	270	1200
184	271	1195
185	271	1189
186	272	1184
187	272	1178
188	273	1173
189	274	1168
190	274	1163
191	275	1158
192	275	1153
193	276	1148
194	276	1143
195	277	1138
196	278	1133
197	278	1128
198	279	1123
199	279	1119
200	280	1114
201	280	1109
202	281	1105
203	282	1100
204	282	1095
205	283	1091
206	283	1086
207	284	1082
208	284	1078
209	285	1073
210	286	1069
211	286	1065
212	287	1060
213	287	1056
214	288	1052
215	288	1048
216	289	1044
217	289	1040
218	290	1035
219	291	1032
220	291	1028
221	292	1024
222	292	1020
223	293	1016
224	293	1012
225	294	1008
226	295	1004
227	295	1000
228	296	997
229	296	993
230	297	989
231	297	985
232	298	982
233	298	978
234	299	975
235	300	971
236	300	968
237	301	964
238	301	961
239	302	957
240	302	954
241	303	950
242	304	947
243	304	943
244	305	940
245	305	937
246	306	933
247	306	930
248	307	927
249	307	923
250	308	920
251	309	917
252	309	914
253	310	911
254	310	907
255	311	904
256	311	901
257	312	898
258	313	895
259	313	892
260	314	889
261	314	886
262	315	883
263	315	880
264	316	877
265	317	874
266	317	871
267	318	869
268	318	866
269	319	863
270	319	860
271	320	857
272	320	854
273	321	851
274	322	849
275	322	846
276	323	843
277	323	840
278	324	838
279	324	835
280	325	832
281	326	830
282	326	827
283	327	824
284	327	822
285	328	819
286	328	816
287	329	814
288	329	811
289	330	809
290	331	806
291	331	804
292	332	801
293	332	799
294	333	796
295	333	794
296	334	791
297	335	789
298	335	786
299	336	784
300	336	781
301	337	779
302	337	777
303	338	774
304	338	772
305	339	770
306	340	767
307	340	765
308	341	762
309	341	760
310	342	758
311	342	756
312	343	753
313	344	751
314	344	749
315	345	747
316	345	744
317	346	742
318	346	740
319	347	738
320	347	735
321	348	733
322	349	731
323	349	729
324	350	727
325	350	725
326	351	722
327	351	720
328	352	718
329	352	716
330	353	714
331	354	712
332	354	710
333	355	708
334	355	706
335	356	704
336	356	702
337	357	699
338	357	697
339	358	696
340	359	694
341	359	692
342	360	690
343	360	688
344	361	686
345	361	684
346	362	682
347	363	680
348	363	678
349	364	676
350	364	674
351	365	672
352	365	670
353	366	668
354	366	666
355	367	664
356	368	662
357	368	660
358	369	659
359	369	657
360	370	655
361	370	653
362	371	651
363	371	649
364	372	648
365	373	646
366	373	644
367	374	643
368	374	641
369	375	639
370	376	637
371	376	635
372	377	634
373	377	632
374	378	630
375	378	628
376	379	627
377	380	625
378	380	623
379	381	621
380	381	620
381	382	618
382	382	616
383	383	614
384	383	613
385	384	611
386	385	609
387	385	608
388	386	606
389	386	605
390	387	603
391	388	601
392	388	600
393	389	598
394	389	597
395	390	595
396	391	594
397	391	592
398	392	590
399	392	589
400	393	587
401	393	585
402	394	584
403	395	582
404	395	581
405	396	579
406	396	578
407	397	576
408	397	574
409	398	573
410	398	571
411	399	570
412	400	568
413	400	567
414	401	565
415	401	564
416	402	562
417	402	561
418	403	559
419	404	558
420	404	556
421	405	555
422	405	553
423	406	552
424	406	550
425	407	549
426	408	547
427	408	546
428	409	544
429	409	543
430	410	541
431	410	540
432	411	538
433	411	537
434	412	535
435	413	534
436	413	532
437	414	531
438	414	530
439	415	528
440	415	527
441	416	525
442	417	524
443	417	522
444	418	521
445	418	520
446	419	518
447	419	517
448	420	515
449	421	514
450	421	513
451	422	511
452	422	510
453	423	509
454	423	507
455	424	506
456	424	504
457	425	503
458	426	502
459	426	500
460	427	499
461	427	498
462	428	496
463	428	495
464	429	494
465	430	492
466	430	491
467	431	490
468	431	488
469	432	487
470	432	486
471	433	484
472	433	483
473	434	482
474	435	480
475	435	479
476	436	478
477	436	477
478	437	475
479	437	474
480	438	473
481	439	471
482	439	470
483	440	469
484	440	467
485	441	466
486	441	465
487	442	464
488	442	462
489	443	461
490	444	460
491	444	459
492	445	457
493	445	456
494	446	455
495	446	454
496	447	452
497	448	451
498	448	450
499	449	449
500	449	447
501	450	446
502	450	445
503	451	444
504	451	443
505	452	441
506	453	440
507	453	439
508	454	438
509	454	437
510	455	435
511	455	434
512	456	433
513	457	432
514	457	431
515	458	429
516	458	428
517	459	427
518	459	426
519	460	425
520	461	423
521	461	422
522	462	421
523	462	420
524	463	419
525	463	418
526	464	416
527	465	415
528	465	414
529	466	413
530	466	412
531	467	411
532	467	409
533	468	408
534	468	407
535	469	406
536	470	405
537	470	404
538	471	402
539	471	401
540	472	400
541	472	399
542	473	398
543	473	397
544	474	396
545	475	395
546	475	393
547	476	392
548	476	391
549	477	390
550	477	389
551	478	388
552	479	387
553	479	386
554	480	384
555	480	383
556	481	382
557	481	381
558	482	380
559	483	379
560	483	378
561	484	377
562	484	376
563	485	375
564	485	374
565	486	372
566	486	371
567	487	370
568	488	369
569	488	368
570	489	367
571	489	366
572	490	365
573	490	364
574	491	363
575	491	362
576	492	361
577	493	360
578	493	359
579	494	358
580	495	357
581	495	356
582	496	355
583	496	353
584	497	352
585	498	351
586	498	350
587	499	349
588	499	348
589	500	347
590	500	346
591	501	345
592	502	344
593	502	343
594	503	342
595	503	341
596	504	340
597	504	339
598	505	338
599	506	337
600	506	336
601	507	335
602	507	334
603	508	333
604	508	332
605	509	331
606	510	330
607	510	329
608	511	328
609	511	327
610	512	326
611	512	325
612	513	324
613	513	323
614	514	322
615	515	321
616	515	320
617	516	319
618	516	318
619	517	317
620	518	316
621	518	315
622	519	314
623	519	313
624	520	312
625	520	311
626	521	310
627	521	309
628	522	308
629	523	307
630	523	306
631	524	305
632	524	304
633	525	303
634	525	302
635	526	301
636	527	300
637	527	299
638	528	298
639	528	297
640	529	296
641	529	295
642	530	294
643	530	293
644	531	292
645	532	291
646	532	290
647	533	289
648	533	288
649	534	287
650	534	286
651	535	285
652	536	284
653	536	283
654	537	282
655	537	282
656	538	281
657	538	280
658	539	279
659	540	278
660	540	277
661	541	276
662	541	275
663	542	274
664	542	273
665	543	272
666	544	271
667	544	270
668	545	269
669	545	268
670	546	267
671	546	266
672	547	265
673	547	265
674	548	264
675	549	263
676	549	262
677	550	261
678	551	260
679	551	259
680	552	258
681	552	257
682	553	256
683	553	255
684	554	254
685	554	253
686	555	253
687	556	252
688	556	251
689	557	250
690	557	249
691	558	248
692	559	247
693	559	246
694	560	245
695	560	244
696	561	244
697	561	243
698	562	242
699	563	241
700	563	240
701	564	239
702	564	238
703	565	237
704	565	236
705	566	235
706	566	234
707	567	234
708	568	233
709	568	232
710	569	231
711	569	230
712	570	229
713	570	228
714	571	227
715	572	226
716	572	226
717	573	225
718	573	224
719	574	223
720	574	222
721	575	221
722	576	220
723	576	219
724	577	218
725	577	218
726	578	217
727	578	216
728	579	215
729	580	214
730	580	213
731	581	212
732	581	211
733	582	211
734	582	210
735	583	209
736	584	208
737	584	207
738	585	206
739	585	205
740	586	204
741	586	204
742	587	203
743	588	202
744	588	201
745	589	200
746	589	199
747	590	198
748	590	198
749	591	197
750	592	196
751	592	195
752	593	194
753	593	193
754	594	192
755	594	191
756	595	191
757	596	190
758	596	189
759	597	188
760	597	187
761	598	186
762	598	186
763	599	185
764	600	184
765	600	183
766	601	182
767	601	181
768	602	180
769	602	180
770	603	179
771	603	178
772	604	177
773	605	176
774	605	175
775	606	174
776	606	174
777	607	173
778	607	172
779	608	171
780	608	170
781	609	169
782	610	169
783	610	168
784	611	167
785	611	166
786	612	165
787	613	164
788	613	164
789	614	163
790	614	162
791	615	161
792	615	160
793	616	159
794	617	159
795	617	158
796	618	157
797	618	156
798	619	155
799	619	154
800	620	154
801	620	153
802	621	152
803	622	151
804	622	150
805	623	149
806	623	149
807	624	148
808	625	147
809	625	146
810	626	145
811	626	145
812	627	144
813	627	143
814	628	142
815	629	141
816	629	141
817	630	140
818	630	139
819	631	138
820	631	137
821	632	136
822	632	136
823	633	135
824	634	134
825	634	133
826	635	132
827	635	132
828	636	131
829	636	130
830	637	129
831	637	128
832	638	128
833	639	127
834	639	126
835	640	125
836	640	124
837	641	123
838	642	123
839	642	122
840	643	121
841	643	120
842	644	119
843	644	119
844	645	118
845	646	117
846	646	116
847	647	115
848	647	115
849	648	114
850	648	113
851	649	112
852	649	112
853	650	111
854	651	110
855	651	109
856	652	108
857	652	108
858	653	107
859	653	106
860	654	105
861	655	104
862	655	104
863	656	103
864	656	102
865	657	101
866	658	100
867	658	100
868	659	99
869	659	98
870	660	97
871	661	97
872	661	96
873	662	95
874	662	94
875	663	93
876	663	93
877	664	92
878	665	91
879	665	90
880	666	89
881	666	89
882	667	88
883	667	87
884	668	86
885	669	86
886	669	85
887	670	84
888	670	83
889	671	82
890	671	82
891	672	81
892	673	80
893	673	79
894	674	79
895	674	78
896	675	77
897	675	76
898	676	76
899	677	75
900	677	74
901	678	73
902	678	72
903	679	72
904	679	71
905	680	70
906	681	69
907	681	69
908	682	68
909	682	67
910	683	66
911	683	65
912	684	65
913	685	64
914	685	63
915	686	62
916	686	62
917	687	61
918	687	60
919	688	59
920	688	59
921	689	58
922	690	57
923	690	56
924	691	56
925	691	55
926	692	54
927	692	53
928	693	52
929	694	52
930	694	51
931	695	50
932	695	49
933	696	49
934	696	48
935	697	47
936	697	46
937	698	46
938	699	45
939	699	44
940	700	43
941	700	43
942	701	42
943	701	41
944	702	40
945	702	40
946	703	39
947	704	38
948	704	37
949	705	37
950	705	36
951	706	35
952	706	34
953	707	34
954	708	33
955	708	32
956	709	31
957	709	31
958	710	30
959	710	29
960	711	28
961	711	28
962	712	27
963	713	26
964	713	25
965	714	25
966	714	24
967	715	23
968	716	22
969	716	22
970	717	21
971	717	20
972	718	19
973	718	19
974	719	18
975	720	17
976	720	16
977	721	16
978	721	15
979	722	14
980	722	14
981	723	13
982	723	12
983	724	11
984	725	11
985	725	10
986	726	9
987	726	8
988	727	8
989	728	7
990	728	6
991	729	5
992	729	5
993	730	4
994	731	3
995	731	2
996	732	2
997	732	1
998	733	0
999	733	0
